My heart beats.|心臓がドキドキする。
My heart beat.|心臓がドキドキした。
My heart is beating.|心臓がドキドキしている。
I'm cutting it.|それを切っているところだ。
I cut it yesterday.|私は昨日それを切った。
My hair was cut yesterday.|私の髪は昨日切られた。
I didn't mean to hurt you.|あなたを傷つけるつもりではなかった。
He hurt me.|彼は私を傷つけた。
I was hurt.|私は傷ついた。
He lets me go out.|彼は私を外出させてくれる。
He let me go out.|彼は私を外出させてくれた。
It was put on the table.|それはテーブルに置かれた。
He put it on the table.|彼はそれをテーブルに置いた。
He puts it on the table.|彼はそれをテーブルに置く。
The book was read by children.|その本は子どもたちに読まれた。
He read it.|彼はそれを読んだ。
He reads it.|彼はそれを読む。
The table was set.|食卓は準備された。
He set the table.|彼は食卓を準備した。
He sets the table.|彼は食卓を準備する。
The fire spread.|その火は広がった。
A fire spreads easily.|火事は簡単に広がる。
The fire was spread by the dry air.|その火事は乾燥した空気のせいで広げられた。

He became an artist.|彼は芸術家になった。
I'll sing with him if he becomes a singer.|彼が歌手になったら一緒に歌うつもりだ。
I have come here twice.|ここに二回来たことがある。
I'm coming to you.|君のところに向かっているところだ。
He runs.|彼は走る。
He ran.|彼は走った。
He is running.|彼は走っているところだ。

He is bringing it to you.|彼が君のところにそれを持ってきているところだ。
He brings it.|彼はそれを持ってくる。
He brought it.|彼がそれを持ってきた。
I was brought here by him.|私は彼にここまで連れてこられた。
I will build my house.|自分の家を建てようと思う。
I built my house.|私は自分の家を建てた。
This house was built twenty years ago.|この家は20年前に建てられた。
He buys a book every day.|彼は毎日1冊本を買う。
He bought these books.|彼がこれらの本を買った。
These books were bought by him.|これらの本は彼によって買われた。
He has bought the book before.|彼はその本を前に買ったことがある。
He catches fish.|彼は魚を捕まえる。
He caught fish.|彼は魚を捕まえた。
The fish was caught.|その魚は捕まえられた。
He has caught fish.|彼は魚を捕まえたことがある。
She always feels happy.|彼女はいつも幸せだと感じる。
She felt strong.|彼女は強くなった感じがした。
They fight.|彼女たちはたたかう。(けんかする)
They are fighting.|彼女たちはたたかっている。(けんかしている)
They fought.|彼女たちはたたかった。(けんかした)
She finds it.|彼女はそれを見つける。
She found it.|彼女はそれを見つけた。
She forgets it.|彼女はそれを忘れる。
She forgot it.|彼女はそれを忘れた。
She has forgot it. (She has forgotten it.)|彼女はそれを忘れてしまっている。
I haven't got it yet.|まだそれを手に入れていない。
He gets up early.|彼は早起きだ。
He had a sister.|彼には一人の妹がいた。
He has a sister.|彼には一人の姉がいる。
I have never had a cold.|風邪をひいたことが一度もない。
I hear you are a Youtuber.|君はユーチューバーだと聞いているよ。
