コーパス3000 STAGE7

present|出席して、参列して
at present|現在は、今のところは
absent|不在で、欠席して
attend|出席する、（学校などに）通う
piece|１つ、１個
board|板
thought|考え
aim|目的、目標にする
miss|はずす
intend|つもりである
attempt|試みる
foreign|外国の
domestic|国内の、家庭の
abroad|外国に
overseas|海外に、海外からの
personality|性格、個性
friendly|好意的な、友好的な
honest|正直な、率直な
curious|好奇心の強い
ambitious|野心を持った
limit|限界、制限
measure|はかる、判断する、対策、基準
invite|招待する
introduce|紹介する
substance|物質
mass|（形を持たない）塊、多数の
material|材料、原料
free|自由な、無料の
release|解放する、封切る
impose|課す、負わせる
obligation|義務
main|主な、最も重要な(m)
significant|重要な(s)
primary|主な、重要な、初期の(p)
principal|主な、最も重要な(p)
emphasize|強調する
struggle|一生懸命に努力する
settle|解決する、定住する
be settled by ...|...によって移住される
settle down|腰を落ち着けて取り組む､落ち着く
advantage|利点、有利な点
take advantage of|利用する
benefit|利益、恩恵
profit|利益、もうけ
extent|程度、広がり
to some extent|ある程度までは
medium|中間の
scale|規模、スケール、はかり
fully|完全に、十分に
absolutely|絶対に、完全に
destroy|破壊する
shoot|撃つ
damage|被害、損害、傷つける
clever|利口な(c)
smart|利口な(s)
wise|賢い
wisdom|知恵
intellectual|知性の、知的な
intelligent|知能が高い
intelligence|知能
escape|逃げる、脱出する
hunt|狩り、狩猟
observe|観察する、気づく
sight|視力(s)
in sight|見える範囲に
out of sight|目の届かない範囲に
vision|視力(v)
clean|綺麗な、清潔な
dirty|汚い、汚れた
wash|洗う
bath|入浴
mistake|誤り、ミス、誤解する
by mistake|間違って
error|誤り(e)
excuse|言い訳
heat|熱
electricity|電気
burn|燃える、燃やす
melt|溶ける
boil|茹でる
nuclear|原子力の、核の
rest|休み
holiday|休日、祝日
vacation|休暇
leisure|余暇、自由な時間
corner|角、曲がり角
guide|案内人、ツアーガイド
balance|バランス
background|背景、経歴
machine|機械
alarm|警報機、目覚まし時計
electronic|電子の
inside|内側に
inside out|裏返しに
inner|内側の
internal|国内の、内部の
content|中身、内容
straight|真っ直ぐな
ahead|前へ、前もって
go ahead|どうぞ
reflect|反射する
deep|深い
sink|沈む、沈没する
hole|穴、くぼみ
metal|金属
rock|岩石
soil|土、土壌
official|公式の、公認された
citizen|住民、国民
neighbor|近所の、隣人
gender|性差、性別
cash|現金
tax|税金
income|収入、所得
wage|給料
property|所有物、財産
wealth|財産(w)
poverty|貧困
push|押す
pull|引く
pull in|駐車させる
pull out|道路に出る、（駅から）発車する
press|押す、記者
injure|に怪我をさせる
recover|回復する
virus|ウイルス
epidemic|伝染病
organ|臓器、器官
therapy|治療
strange|奇妙な
unusual|（状況・状態などが）異常な
rare|まれな、珍しい
extraordinary|（驚くほど）異常な
insist|主張する
persuade|説得する
apologize|謝る、謝罪する
quote|引用する
spread|広げる(s)
extend|広げる、広がる、延長する
strech|伸ばす、ストレッチする
remove|取り除く
eliminate|除去する(e)
peace|平和
compromise|和解、示談
stable|安定した
adopt|採用する
permit|許可する
decline|断る、低下する
hero|英雄、ヒーロー
honor|名誉、光栄
proud|誇りに思っている
shame|恥ずかしさ
prefer|の方を好む
favorite|一番好きな、お気に入りの
hate|酷く嫌う、憎む
dislike|を嫌う
former|前者の
final|最終的な、最後の
publish|出版する
advertise|広告する、宣伝する
scene|場面、シーン
law|法律
crime|罪、犯罪
judge|裁判官、審査員、判断する
steal|盗む
legal|法律の、合法的な
guilty|有罪の
superior|優れている
convenient|好都合な、便利な
suitable|適した、ふさわしい


出席して、参列して|present
現在は、今のところは|at present
不在で、欠席して|absent
出席する、（学校などに）通う|attend
１つ、１個|piece
塊、ブロック|block
板|board
イメージ、像、記号|image
考え|thought
目的、目標にする|aim
はずす|miss
つもりである|intend
試みる|attempt
外国の|foreign
国内の、家庭の|domestic
外国に|abroad
海外に、海外からの|overseas
性格、個性|personality
好意的な、友好的な|friendly
正直な、率直な|honest
好奇心の強い|curious
野心を持った|ambitious
限界、制限|limit
はかる、判断する、対策、基準|measure
招待する|invite
紹介する|introduce
身振り、ジェスチャー|gesture
物質|substance
（形を持たない）塊、多数の|mass
材料、原料|material
一枚、シーツ|sheet
自由な、無料の|free
解放する、封切る|release
課す、負わせる|impose
義務|obligation
主な、最も重要な(m)|main
重要な(s)|significant
主な、重要な、初期の(p)|primary
主な、最も重要な(p)|principal
強調する|emphasize
一生懸命に努力する|struggle
解決する、定住する|settle
...によって移住される|be settled by ...
腰を落ち着けて取り組む､落ち着く|settle down
利点、有利な点|advantage
利用する|take advantage of
利益、恩恵|benefit
利益、もうけ|profit
程度、広がり|extent
ある程度までは|to some extent
中間の|medium
規模、スケール、はかり|scale
完全に、十分に|fully
絶対に、完全に|absolutely
破壊する|destroy
撃つ|shoot
被害、損害、傷つける|damage
利口な(c)|clever
利口な(s)|smart
賢い|wise
知恵|wisdom
知性の、知的な|intellectual
知能が高い|intelligent
知能|intelligence
逃げる、脱出する|escape
狩り、狩猟|hunt
観察する、気づく|observe
視力(s)|sight
見える範囲に|in sight
目の届かない範囲に|out of sight
視力(v)|vision
綺麗な、清潔な|clean
汚い、汚れた|dirty
洗う|wash
入浴|bath
誤り、ミス、誤解する|mistake
間違って|by mistake
誤り(e)|error
言い訳|excuse
熱|heat
電気|electricity
燃える、燃やす|burn
溶ける|melt
茹でる|boil
原子力の、核の|nuclear
休み|rest
休日、祝日|holiday
休暇|vacation
余暇、自由な時間|leisure
角、曲がり角|corner
案内人、ツアーガイド|guide
背景、経歴|background
機械|machine
エンジン|engine
警報機、目覚まし時計|alarm
電子の|electronic
内側に|inside
裏返しに|inside out
内側の|inner
国内の、内部の|internal
中身、内容|content
真っ直ぐな|straight
前へ、前もって|ahead
どうぞ|go ahead
反射する|reflect
深い|deep
沈む、沈没する|sink
穴、くぼみ|hole
金属|metal
岩石|rock
土、土壌|soil
公式の、公認された|official
