electronic|電子の、電子的な
個人(の)|individual
in individual competitions|個人戦で
Many people enjoy them in a different way.|多くの人がそれらを異なる(別の)方法で楽しんでいる。
Computers and other machines today are smarter and cheaper than those of the 20th century.|今日のコンピュータや他の機械は20世紀のそれより賢く安い。
Technology has advanced.|技術が進歩してきた。
Many players have become very skilled.|たくさんの選手がとても上手になってきた。
organization|組織
as a result|結果として

Esports tournaments now take place online or in big arenas all over the world.|Eスポーツ大会は今では世界中、ネット上や大きなアリーナで行われる。
Players compete against each other in various games, such as battle games, card games and sports games.|選手たちはお互い、戦闘ゲーム、カードゲーム、スポーツゲームといった様々なゲームで競い合っている。
Becoming a great esports player is often as difficult as becoming a great player of any other kind of sport.|偉大なEスポーツ選手になることはしばしば、他のいかなる種類のスポーツの偉大な選手になることとも同じほど難しい。
strategy|戦略
More and more people believe that esports will change society.|ますます多くの人が、Eスポーツは社会を変えるだろうと信じている。

My parents don't want me to become an esports player.|両親はぼくにEスポーツ選手にならないでほしいと思っている。
a waste of time|時間の無駄
Be strong and healthy - physically and mentally.|強く健康でいなさい、肉体的にも精神的にも。
Cultivate your spirit of fair play.|フェアプレイ精神を育てなさい。
