
Excuse me.|すみません。
Is this the main entrance to the school building?|こちらは校舎の正面玄関ですか。
Are you new to this school?|あなたはこの学校の新入生ですか。
May I ask you a question? - Of course.|あなたに質問をしていいですか。もちろんです。
Why do Japanese people bow like that?|なぜ、日本の人々は、そんなふうにおじぎをするんですか。
It's like saying hello.|それは「こんにちは」とあいさつをするようなものです。

I'm an exchange student from the US.|私はアメリカ合衆国からの交換留学生です。
I'm going to study with you for a year.|私はこれから1年間、あなたたちと一緒に勉強する予定です。
I like taking pictures.|私は写真を撮ることが好きです。
These days, I often take pictures of the beautiful scenery in Japan.|最近、私は日本の美しい景色の写真をよく撮っています。
I send them to my family every weekend.|私は週末になると、それらを家族に送っています。
I'm really looking forward to studying with you.|私はあなたたちと一緒に勉強するのを、本当に楽しみにしています。

What was your favorite subject in junior high school?|中学校であなたの好きな教科は何だったの？
I was in the science club.|僕は科学部に入っていたんだ。
Someday I want to travel to Mars!|いつか、僕は火星に旅行したいんだ！
I'm interested in marine sciences.|私は海洋科学に興味があるんだ。
I want to protect the animals in the ocean.|私は海の生物を守りたいんだ。

Our school has a competitive karuta club.|私たちの学校には、競技かるた部があります。
Competitive karuta is a card game with 100 cards called Hyakunin Isshu karuta.|競技かるたは、百人一首かるたと呼ばれる100枚の札を使ったカードゲームです。
They have old Japanese poems on them.|それらの札には、古い日本の詩歌が書いてあります。
In the picture, the teacher is reading the poem on a card.|写真では、先生が札に書かれた詩歌を読んでいます。
The boy is looking for the matching card.|男子がそれに合う札を探しています。
Competitive karuta became famous because of the manga Chihayafuru.|競技かるたは、漫画の『ちはやふる』によって有名になりました。
If you are interested in their activity, please watch their practice sometime.|もし、彼らの活動に興味があれば、いつか彼らの練習を見にいってください。

Are your friends in the classroom?|あなたの友だちは教室にいますか。
My aunt is a famous artist.|私のおばは有名な芸術家です。
Is she sick in bed?|彼女は病気で寝ているのですか。
Is their house very large?|彼らの家はとても大きいのですか。
The cats are not under the desk.|そのネコたちは机の下にいません。
Is there a theater in your town?|あなたの町には映画館がありますか。
A week has seven days.|1週間には7日あります。
My father drinks coffee in the morning.|私の父は朝にコーヒーを飲みます。
She doesn't understand my feelings.|彼女は私の気持ちを理解していません。
Did she often watch movies on weekends?|彼女は週末によく映画を見たのですか。
Who sent the letter to you?|だれが君にその手紙を送ってきたのですか。
Everyone is waiting for you.|みんながあなたを待っていますよ。
What were you looking for yesterday?|あなたは昨日何を探していたのですか。
What were you talking about on the phone this morning?|あなたは今朝、電話で何を話していたのですか。

