January|1月
February|2月
March|3月
April|4月
May|5月
June|6月
July|7月
August|8月
September|9月
October|10月
November|11月
December|12月

Monday|月曜日
Tuesday|火曜日
Wednesday|水曜日
Thursday|木曜日
Friday|金曜日
Saturday|土曜日
Sunday|日曜日


one|1
two|2
three|3
four|4
five|5
six|6
seven|7
eight|8
nine|9
ten|10
eleven|11
twelve|12
thirteen|13
fourteen|14
fifteen|15
sixteen|16
seventeen|17
eighteen|18
nineteen|19
twenty|20
thirty|30
forty|40
fifty|50
sixty|60
seventy|70
eighty|80
ninety|90
hundred|百
thousand|千
million|百万
billion|十億

first|1番目、最初
second|2番目
third|3番目
fourth|4番目
fifth|5番目
sixth|6番目
seventh|7番目
eighth|8番目
ninth|9番目
tenth|10番目
eleventh|11番目
twelfth|12番目
fourteenth|14番目
twentieth|20番目

once|1回、かつて、一旦
twice|2倍、2回

second|秒
minute|分
hour|1時間
day|日、１日
month|月、１か月
year|年
century|世紀

season|季節
spring|春
summer|夏
fall|秋
winter|冬

morning|朝
noon|正午
afternoon|午後
evening|夕方～晩
night|夜

today|今日
tonight|今夜は
tomorrow|明日
yesterday|昨日

breakfast|朝食
lunch|昼食
dinner|夕食

west|西
south|南
north|北
east|東

That's too bad.|それは残念、気の毒です。
a few|少数の
a kind of|一種の
a little|少し(量)
about|について、に関する
above|(離れて)上に，上記の
abroad|外国に、海外に
absent|欠席の
according to|によれば
across|横断して
activity|活動
address|住所
add|加える
advice|忠告
afraid|こわがって
after all|結局
after|～のあとに
against|に対抗して、反対して
again|もう一度、再び、また
age|年齢
ago|(長さ)～前に
agree with|に賛成する
(air)plane|飛行機
all|すべて
along|に沿って
already|すでに
also|もまた(一文字目はa)
always|いつも
and so on|などなど
angry|怒って
animal|動物
another|ほかの、別の
answer|に答える
any|どんな～でも
apple|りんご
around|のまわり(を回って)、のあちこちに
arrive|到着する
as a result|結果として
ask|に聞く、たのむ
as|として
ate|食べた（過去形）
aunt|おば
away|はなれて、去って
baby|赤ん坊
back|戻って、返して
bad|悪い
bag|かばん
baseball|野球
bath|入浴、風呂
beach|浜、海辺
beautiful|美しい
because|だから、なので
become|になる
bed|ベッド
before|の前に
began|始めた
begin|を始める
behind|の背後に
believe|信じる
best|最も良い
better|より良い
between|と～の間で
bicycle (bike)|自転車
big|大きい
bird|鳥
birthday|誕生日
black|黒い
blue|青い
body|身体
bookstore|本屋
book|本
borrow|を借りる
both|両方
bought|買った（過去形）
box|箱
boy|少年
bread|パン
break|壊す、破る
bring|持って来る
brother|兄弟
brown|茶色の
building|建物
build|を建てる
built|を建てた
busy|忙しい
but|しかし、けれども
buy|を買う
cake|ケーキ
call|に電話をかける
came|来た（過去形）
can|することができる
cap|(野球帽の形の)帽子
carefully|注意深く
careful|注意深い
carry|を運ぶ
car|自動車
case|場合
catch|を捕まえる
cat|猫
chair|いす
change trains|電車を乗りかえる
cheap|安い
chicken|鶏肉
children|子供たち
child|子供
Chinese|中国語
choose|を選ぶ
circle|円、まる
city|市、都会、都会
classmate|同級生
classroom|教室
class|授業
clean|きれいな、清潔な
clean|をきれいにする
climb|を登る
close|閉じる
clothes|服
cloth|布
cloudy|曇った(状態)
cloud|雲
cold|冷たい、寒い
collect|を集める
come|来る
common|共通の
company|会社
cook|料理する
cool|かっこいい、すずしい
could|できた
country|国
cousin|いとこ
cry|泣く
culture|文化
cup|カップ
cute|かわいい
cut|切る
dangerous|危険な
date|日、日付
daughter|娘
dear|親愛なる
decide|を決める
decrease|減少する
deep|深い
delicious, good|おいしい
desk|机
develop|を発達させる
dictionary|辞書
die|死ぬ
different|色々な、違った
difficult|難しい
dish|皿、料理
do one's best (自分なら my best のように)|最善をつくす
doctor|医者
dog|イヌ
doll|人形
don't have to|しなくてよい
door|戸
down|下(の方向)に
do|をする、行う
draw|を(えんぴつ等で)描く、引く
dream|夢
drink|を飲む
drive|運転する
drop|を落とす
during|(長さではなく、「夏休み」など名詞)の間
each other|お互いに
each|それぞれの、各自の
early|早く
earth|地球
ear|耳
easily|簡単に
easy|簡単な
eat|を食べる、食事をする
effort|努力
egg|卵
elderly|年配の
elementary school|小学校
else|他に
enjoy|を楽しむ
enough|十分な、必要なだけの
environment|環境
eraser|消しゴム
especially|特に、とりわけ
event|行事
even|でさえ
every year|毎年
everyone|みんな
every|毎、ごとに
example|例、実例
excited|わくわくした
exciting|興奮させる
expensive|高価な，費用のかかる
experience|経験、体験
explain|を説明する
eye|目、視力
face|顔
fall down|倒れる
family|家族
famous|有名な
farmer|農場主
far|遠くに
fast|速い
father|父
favorite|好きな、お気に入りの
feel|感じる
felt|感じた（過去形）
festival|祭り
fever|熱
find|を発見する
finger|手の指(親指以外)
finish|を終える
fire|火
fish|魚
flower|花
fly|飛ぶ
follow|に従う
food|食べ物
for example|例えば
foreign|外国の
forest|森、森林
forget|を忘れる
for|にとって
free|ひまな
friend|友達
from ～ to ...|～から…まで
front|前、正面
fruit|果物
funny|おかしな
fun|楽しい
future|未来
gave|与えた
get|を得る
girl|少女
give|を与える、渡す
glad|うれしい
got|得た、もらった
grandfather|祖父
grandmother|祖母
green|緑
ground|地面
grow|成長する
guess|を推測する
had|持った
hair|髪
half|半分、2分の1
hand|手
happen|起こる
happy|幸せな、うれしい、楽しい
hard|熱心に、一生懸命に
hat|(全方向つば付きの)帽子
headache|頭痛
head|頭
healthy|健康な
health|健康(状態ではなく、そのもの)
heard|を聞いた(が耳に入った)
heart|心、心臓
hear|を聞く(が耳に入る)
heavy|重い
help|を手伝う、助ける
here|ここに
hers|彼女のもの
high school|高校
history|歴史
hobby|趣味
hold|をつかむ、を開催する
holiday|休日、休暇
homework|宿題
hope|を望む
horse|馬
hospital|病院
hot|暑い
house|家、住宅
how|どう
hungry|空腹の、飢えた
hurry|急ぐ
hurt|を傷つける
husband|夫
ice|氷
idea|考え
imagine|想像する
important|重要な、大切な
in front of|の前に
in the middle of|の真ん中に
information|情報
interested in|興味をもっている
interesting|興味深い
international|国際的な
introduce|を紹介する
invent|を発明する
invite|を招待する
island|島
its|それの
job|職業
join|に参加する、の仲間になる
jump|跳ぶ
junior high school|中学校
just|ちょうど、まさに
key|鍵
kind|種類
kind|親切な
know|を知っている
lake|湖
language|言語
large|大きい、広い
last|この前の
later|後で
laugh|笑う
learn|学ぶ
leave|去る、を置いていく、出発する
left|左
leg|脚
lend|貸す
let's|(一緒に)～しよう
letter|手紙
let|～に～させる(許可する)
library|図書館
life|生活、命
light|光、軽い
like|のような
listen|聞く(耳を向ける)
live|住む
local|地方の、地元の
lonely|さびしい
long|長い
look forward to ...|を楽しみに待つ
look|に見える
look|見る(目を向ける)
lose|負ける、を失う
lost|負けた、を失った（過去形）
loud|声の大きい
low|低い
lucky|幸運な
luggage|手荷物
made|作った（過去形）
magazine|雑誌
make all the difference|大きなちがいを生む
make|を作る
make|を～にする
many|たくさんの(数)
man|男性、男の人
map|地図
