コミュ英Lesson 2, 4

～し続ける|keep ～ing
if|～かどうか
not ～ until …|…まで～ない
current (currents)|潮流
ある特定の|certain
due to～|～によって(～が原因で)
～するのはどうですか|How about ～ing?
巨大な|huge
in the shape of ～|～の形で
spot|地点
automatically|自動的に、勝手に
recycle ～|～を再利用する
collect ～|～を集める
maintain ～|～を維持する
～を浮かべる|float ～

Slat kept thinking.|スラットは考え続けました。
He asked some people if he could do something to clean up the ocean.|彼は海を清掃するために何かをすることができるかどうかを何人かの人に尋ねました。
They told him that the problem was too big for him.|彼らはその問題が彼には大きすぎると言いました。
Slat learned that plastic waste flowed to certain areas in the sea due to the ocean currents.|プラスチックごみは海流のせいで特定の海域に流れていくということをスラットは学びました。
How about floating a huge barrier in the shape of a `V' in such an area?|そういう場所にＶ字型の巨大な柵を浮かべてはどうだろうか。

We should not begin the meeting until Olivia arrives.|私たちはオリビア(Olivia)が到着するまで会議を始めるべきではありません。
A new idea came to me while I was walking home.|家に向かって歩いているときに新しいアイディアが思い浮かびました。


against ～|～に反対して
～が…するのを止める|stop ～ from …ing
優先事項|priority
set up ～|～を設置する
strait|海峡
海峡|strait
共通して、普通に|commonly
ambitious|野心的な、大望のある
attitude|態度


They say that people should rather work to stop plastic waste from going into the ocean.|彼らは、人々はむしろプラスチックごみが海に入っていかないよう止めることに取り組むべきだと言っています。
Slat argues that we already have a large amount of waste in the ocean, and collecting that waste should be a priority.|スラットは、海にすでに大量のごみがあるので、そのごみを集めることが優先事項であるべきだと主張しています。
It seems that this barrier system is a good plan.|この柵のシステムは良い計画であるように思われる。
Slat believes in questioning what people commonly think.|スラットは人々が普通に考えることに対して疑問を抱くことは良いことだと信じています。
I like to prove them wrong.|私は彼らが間違っていると証明するのが好きです。

誰もブラウン先生について大して知らないようだ。|It seems that no one knows very much about Mr. Brown.
Her plan seems to be impossible.|彼女の計画は不可能のように思われる。
We need a large amount of time and money to solve this problem.|(私たちが)この問題を解決するには大量のお金と時間が必要だ。
Nothing can stop me from doing what I believe I should do.|私がすべきだと思うことを私がするのを何も止められない。
It seems that your life is full of challenges.|あなたの人生は挑戦(課題、問題)に満ちているようです。


The president at that time made a speech.|当時の大統領が演説をした。
He believed that human happiness was connected to the environment.|彼は、人類の幸福が環境とつながっていると信じていた。
聴衆はムヒカがこれらの質問をするのを聞いた(耳にした)。|The audience heard Mujica ask these questions.
70ないし80億人が、裕福な西洋社会の(それ、つまり生活様式)と同じ生活様式を楽しめるか。|Can seven or eight billion people enjoy the same lifestyle as that in the rich Western societies?
He asked the audience what would happen if everyone on earth enjoyed a rich lifestyle.|彼は聴衆に、地上の全員が豊かな生活様式を楽しめば何が起こるかを尋ねた。
He thought that seeking economic development hurt the earth.|彼は、経済的な発展を求めることが地球を傷つけると考えていた。
