英表 Review 1 動詞の活用、コミュ英90-111

beginning|「始まる」のing形(b)
caught|「つかまえる」の過去形
caught|「つかまえる」の過去分詞
come|「来る」の過去分詞
fell|「落ちる」の過去形
fallen|「落ちる」の過去分詞
got (gotten)|「手に入れる」の過去分詞
run|「走る」の過去分詞
stopped|「止める」の過去形
stopped|「止める」の過去分詞
stopping|「止める」のing形
taught|「教える」の過去形
taught|「教える」の過去分詞

as if …|(まるで)…であるかのように
even if …|(たとえ)…だとしても
What if … ?|(もし)…だったらどうしよう
…を持っていく[連れていく]<br>(手を伸ばして)…を取る<br>(動作を)行う<br>(時間などが)必要である|takeの意味4つ目まで

get along|順調に進む、仲良くやっていく
get out of …|…から(外へ)出る
get over … (get through …)|(病気・つらい経験など)を乗り越える
see off|(人を)見送る

think of A as B (think A B) (think A to be B)|A を B だと考える(3通り)
think over|(結論を下す前に)…についてじっくり考える
tell the truth|真実を話す
tell A B (tell B to A)|A に B を教える
Can you hear me?|私の声が聞こえますか？
hear from …|(手紙などで)…から連絡がある
hear of …|…のうわさを聞く

get used to …|…に慣れる
get better|よくなる、回復する
get involved in … (get into …)|…に巻き込まれる
take over|(仕事などを)引き継ぐ
take off|(飛行機などが)離陸する; (服などを)脱ぐ

fact|事実
actually|実際に、実を言うと
practical|実際的な、現実的な
practical solution|現実的な解決方法
assume|…を(証拠はないが)仮定する、想定する
express|表現する
claim|(正当性・真実性などを)主張する

always|いつも、常に
not always …|(いつも)…するとは限らない
daily|毎日の
daily life|日常生活
cycle|周期、循環
repeat|繰り返す
enjoy myself|楽しい時を過ごす(私が)
smile|ほほえみ、ほほえむ
laugh|(声を出して)笑う

include (contain)|…を含む
a five-day week system|週5日制
structure|(全体的な)構造、構成
whole|全体の、全部の(ケーキ丸ごとみたいな)
in general|一般的に(2語で)
total|合計(の)

different|違った、異なる、さまざまな
unique|世界唯一の
unlike|…と違って
compare|を比較する、比べる
gap|違い、すき間
nature|自然、本質
by nature|生まれつき
environment|環境

real|現実の、実在している
true|本当の、真実の
come true|(夢などが)実現する(動詞句)
false|誤った、間違った、うその(f)
exist|実在する(動詞)
consider|(問題などについて)よく考える、…を…であると見なす
consider the possibility of A|A の可能性について考える(c)
guess|…を(確信なく)推測する
estimate|(金額などを)見積もる、見積もり
an estimated cost|見積もり額

victory|勝利
win|勝つ、勝ち取る
win a narrow victory|辛勝する
lose|負ける、失う、なくす
lose by one point|1点差で負ける
form|形、形態、(書き込み)用紙(f)
shape|形、調子(s)
model|模型、型
fat|太った、脂肪

