コーパス

history|歴史
era|時代
modern|現代の
ancient|古代の
deal|～ with … で …を処理する、扱う
divide|を分割する
pack|を荷造りする
anyway|とにかく
whether|かどうか
rise|上がる
raise|上げる
drop|落とす
height|高さ
program|番組
author|著者
article|記事
print|を印刷する
plant|植物
wood|木材
grass|草
root|根
finish|を終わらせる、仕上げる
quit|やめる
retire|引退する
behind|の背後に
beyond|を越えたところに
throughout|の至るところに
opposite|反対側の
save|を救い出す
support|を支援する
contribute|貢献する、寄付する
spend|を費す
earn|を稼ぐ
expensive|高価な
cheap|安い
kind (sort)|種類
pattern|パターン
version|版
list|一覧
typical|典型的な
powerful|有力な
weak|弱い
strength|強さ
