コミュ英Lesson 7-1 ～ 7-2, 4-2

invitational tournament|選抜大会
graduation ceremony|卒業式
cheer (up)|を応援する、励ます、元気づける

It may be one of the songs that help people overcome sadness or troubles.|それは、人々が悲しみや問題を克服するのを助ける歌の一つかもしれない。
The following year, it was adopted as the theme song.|次の年に、それは主題曲として採用された。
この歌を使い続けている学校もある。|【和訳】Some schools have also been using this song.
When the earthquake occurred, this song was often aired.|その地震が起きたとき、この歌はよく放送された。
Many people were able to recover their spirits by listening to it.|たくさんの人が、それを聴くことによって活気を取り戻すことができた。
Unfortunately, she passed away before the earthquake occurred.|残念ながら、彼女はその地震が起こる前に亡くなった。

There are things people can do and things they can't.|人にできることとできないことがある。
I could swim like a fish when I was a child.|子どもの頃は魚のように泳ぐことができたのだが。
I'll cook something for you. You must be hungry.|何か料理してあげるよ。お腹が空いているに決まっている。
Come home early. It might (may) snow in the evening.|早く帰って来なさい。夕方には雪が降るかもしれないよ。
Emi is running around. So she can't be sick.|エミは走りまわっているぞ。だから病気のはずはないよ。

すぐ医者に診てもらうべきだ。(診てもらうほうが良い)|【和訳】You should see the doctor at once.
その話はウソに違いない。|【和訳】The story must be a lie.
彼女がそれを知っているはずがない。|【和訳】She cannot know that.
They should not have given up.|彼らはあきらめるべきではありませんでした。

attractive|魅力的、(人を)引きつける(ような)
refrain|繰り返し(句)、引き返す、控える(from)
replace|を取り換える(～でwith)
search|探す(～を求めてfor)

What makes this song so attractive?|何がこの歌をそれほど魅力的にしているのか。(この歌はどうしてそれほど魅力的なのか。)
The answer may be in its lyrics.|答えはそれの歌詞にあるかもしれない。
She left a piece of paper on which she wrote the lyrics.|彼女はその歌詞を書いた一枚の紙を残した。
Keep on running until the end.|最後まで走り続けろ。
She may have thought that this sounded more positive.|彼女はこちらの方がもっと前向きに響く(聞こえる)と考えたのかもしれない。
She changed this part while she was actually recording the song.|彼女はこの部分を、まさにその歌を録音している最中に変更した。
It was the question (that) she always had in her mind.|それが、彼女がいつも念頭に置いていた質問だった。

He replaced the broken chair with a new one.|彼は壊れた椅子を新品に取り換えた。
The man kept on speaking for an hour.|その男は一時間しゃべり続けた。

He cannot have told you a lie.|彼が君に嘘をついたはずがない。
They must have enjoyed the beach in Hawaii.|あいつら、ハワイのビーチをエンジョイしたに違いない。
I should have got up early.|私は早起きするべきだったんだが。
The grass is wet. It may have rained during the night.|芝生が湿っている。夜の間に雨が降ったのかもね。
Satoshi must have studied really hard for the geography exam.|サトシは地理の試験のため、本当に頑張って勉強したに違いない。
You can't have seen her. She is absent today.|あなたは彼女を見たはずがありません。今日は欠席しています。

He was in his early 20s.|彼は20代の初めだった。(年齢)
He started to worry about the gap between the rich and the poor.|彼は金持ちと貧乏人の間の格差について心配し始めた。
Mujica thought that political change was necessary.|ムヒカは政治的な変化が必要だと考えた。
He fought against the military government and got arrested four times.|彼は軍事政権に反対して戦い、四度逮捕された。
He saw many people arrested for the same reason.|彼は多くの人が同じ理由で逮捕されるのを見た。
He was finally released.|彼はついに釈放された。
He never lost his strong will to change society and became a politician 10 years later.|彼は社会を変える強い意志を一切失わず、10年後政治家になった。
He was elected as the 40th president.|彼は40代目の大統領として(選挙で)選ばれた。

I heard my name called in the classroom.|私は教室で自分の名前が呼ばれるのを聞いた。
You can see the food cooked by the chef.|あなたはその料理がシェフによって料理されるのを見ることができます。
I felt my body pulled in all directions.|(ジェットコースターで)体が全方向に引っぱられる感じがした。
