丘珠3年コミュ

in the early 1990s|1990年代のはじめ(前半)に
She may have preferred producing music to singing in public.|彼女は人前で歌うよりも音楽を制作するほうが好きだったのかもしれない。
She wrote lyrics for other singers as well.|彼女は他の歌手にも歌詞を書いた。(tooやalsoではない表現)
I have always treasured words from the bottom of my heart.|私はいつも心の底から言葉を大切にしている。(現在完了)
sincere|誠実な、正直な、偽りのない

below|下の(ほうにある)
"Good afternoon" is a shortened form of "I wish you a good afternoon."|「Good afternoon」は「あなたに良い午後を願います」の短縮形だ。
Thus, many greetings come from consideration for others.|それで、多くの挨拶は他人への気遣いに由来する。

unlike bears,|熊とは違って、
Water bears can survive temperatures from minus 170 degrees to 150 degrees Celsius.|クマムシは摂氏マイナス150度から(プラス)150度までの温度を生き残れる。
They can endure the pressure of 75,000 atmospheres.|彼らは75000気圧の圧力を耐えられる。
They are not affected by the external extreme environment.|彼らは外部の極端な環境に影響されない。

People use digital devices such as smartphones and tablets everywhere.|人々はスマホやタブレットといったデジタル機器をどこでも使う。
They are so useful that many people overuse them.|それらはとても便利なので多くの人がそれらを使いすぎる。
Some people started to put down their devices and to connect with other people face to face.|①自分の機器を下ろすことと、②他人に直接向きあってつながること を始めた人たちがいる。
unplug|コンセントを抜く
Participants try not to use any digital devices and aim to spend a relaxing time.|参加者たちは一切のデジタル機器を使わないようにしようとし、くつろいだ時間を過ごすことを目指す。
Humans should be the masters of digital devices, not their slaves.|人類はデジタル機器の主人であるべきだ、その奴隷ではなく。
