翔陽高校1年 夏

prefecture|県
disappear|消える、姿を消す
secret|秘訣、秘密

prefectural office|県庁
reach|に到達する
phantom|幻
therefore|それゆえ
for free|無料で

article|記事
cheer|応援する
damage|に損害を与える
fund|基金
raise|を集める、を上げる
official|職員、公務員
sadness|悲しみ
earthquake|地震
castle|城

They work for their local area.|彼らは自分たちの地元のために働いているよ。
They can attract many tourists.|彼らは多くの観光客を引きつけることができる。
Those areas don't have a yuru-chara any more.|それらの地域にはもう、ゆるキャラがいない。
The governments wasted tax money.|その自治体は税金を無駄遣いした。

Kumamon looks like a bear.|くまモンは熊のように見える。
The (prefectural) office created him to promote Kumamoto.|県庁は熊本を宣伝するために彼を創り出した。
People wondered about him and posted his pictures on social media.|人々は彼について不思議に思い、ソーシャルメディアに彼の写真を投稿した。
Kumamon became popular in a very short time.|くまモンはあっという間に人気になった。

to support the repair work|その修復作業を支援するために
At that time, we received support from around the world.|その際、私たちは世界中から支援を受けました。
Sending money to France is one way to return that kindness.|フランスへ送金することは、あの親切さに報いる1つの方法です。
He has appeared at local markets and tourist spots.|彼は地元の市場や観光地で姿を現してきた。
Kumamon made many friends and built new links between Japan and France.|くまモンは多くの友をつくり、日仏間の新たなつながりを築いた。

be (am/is/are), was, were|「である、ある、いる」の原形(現在形)、過去形、過去分詞形
begin, begran, begun|「始める、始まる」の原形、過去形、過去分詞形
break, broke, broken|「壊す」の原形、過去形、過去分詞形
bring, brought, brought|「持ってくる」の原形、過去形、過去分詞形
buy, bought, bought|「買う」の原形、過去形、過去分詞形
catch, caught, caught|「捕まえる」の原形、過去形、過去分詞形
come, came, come|「来る」の原形、過去形、過去分詞形
choose, chose, chosen|「選ぶ」の原形、過去形、過去分詞形
draw, drew, drawn|「描く、引く」の原形、過去形、過去分詞形
eat, ate, eaten|「食べる」の原形、過去形、過去分詞形
feel, felt, felt|「感じる」の原形、過去形、過去分詞形
find, found, found|「見つける、わかる」の原形、過去形、過去分詞形
get, got, got (gotten)|「手に入れる」の原形、過去形、過去分詞形
give, gave, given|「与える」の原形、過去形、過去分詞形
go, went, gone|「行く」の原形、過去形、過去分詞形
grow, grew, grown|「育つ」の原形、過去形、過去分詞形
have (has), had, had|「持っている」の原形 (三単現)、過去形、過去分詞形
hear, heard, heard|「聞く」の原形、過去形、過去分詞形
hold, held, held|「持ち続ける」の原形、過去形、過去分詞形
keep, kept, kept|「保つ」の原形、過去形、過去分詞形
know, knew, known|「知っている」の原形、過去形、過去分詞形
leave, left, left|「離れる、出発する」の原形、過去形、過去分詞形
lose, lost, lost|「失う」の原形、過去形、過去分詞形
meet, met, met|「会う」の原形、過去形、過去分詞形
read, read, read|「読む」の原形、過去形、過去分詞形
run, ran, run|「走る」の原形、過去形、過去分詞形
say, said, said|「言う」の原形、過去形、過去分詞形
see, saw, seen|「見る」の原形、過去形、過去分詞形
sell, sold, sold|「売る」の原形、過去形、過去分詞形
speak, spoke, spoken|「話す」の原形、過去形、過去分詞形
sing, sang, sung|「歌う」の原形、過去形、過去分詞形
take, took, taken|「取る、持っていく」の原形、過去形、過去分詞形
tell, told, told|「言う、伝える」の原形、過去形、過去分詞形
teach, taught, taught|「教える」の原形、過去形、過去分詞形
think, thought, thought|「思う、考える」の原形、過去形、過去分詞形
write, wrote, written|「書く」の原形、過去形、過去分詞形
win, won, won|「勝つ」の原形、過去形、過去分詞形

Does Tom go to school?|トムは学校に行きますか。
Do you have a pet?|ペットを飼っていますか。
Do you know the answer?|答えを知っていますか。
Did you eat breakfast?|朝ごはんを食べましたか。
Did you study English?|英語の勉強をしましたか。
Did you play games?|ゲームをしましたか。
I didn't study math.|数学の勉強をしませんでした。
I didn't make lunch.|私は昼食を作らなかった。
John doesn't live in Tokyo.|ジョンは東京に住んでいません。
My brother doesn't play the piano.|兄はピアノを弾きません。
She doesn't know my name.|彼女は私の名前を知りません。
My sister doesn't have a car.|姉は車を持っていません。

私は納豆を食べることが好きじゃない。【名詞的用法】|I don't like to eat natto.
私たちは、お互いに助け合うことが必要です。【名詞的用法】|We need to help each other.
