privilege, priority|特権、優先
appointment, mission|任命、任務
mend, exchange|を直す、を交換する
depend ↔ independant|頼る(動詞) ↔ 頼らない(形容詞)=独立した
portion, component|一部、構成要素
experience, undergo|経験(名詞)、を経験する(他動詞)
produce, manufacture|を製造する、を造る
decrease, lack ↔ content|減少する(動詞)、欠如(名詞) ↔ 満足して(形容詞)
opportunity|機会
procedure, phase, scheme|手順、段階、計画
import, load|を輸入する(動詞)、積み荷(名詞)
assure, assert, assume|に保証する、を断言する、を想定する
deal, handle|取り扱う、を扱う
pill|丸薬
estate|地所
trace, track|をたどる(動詞)、足跡
utility|有用性
instance|例
contract|契約
share, distribute|を分ける、を分配する
convince, persuade|に納得させる、を説得する
menace, crisis, frightened|脅威、危機、おびえた
obtain, acquire, achieve|を獲得する、を取得する、を達成する
promote, advance, raise|を昇進させる、を前進させる、を上げる
surface, glow|表面、輝き
alarm|驚き
equipment|装備
context|前後関係
substance, object|物質(素材)、物(物体)
earn, afford, cost, fare|を稼ぐ、する余裕がある、が掛かる、運賃
apply|を適用する
employ, colleague, organize, participate|を雇う、同僚、を組織する、加わる
thread|糸
function, property, attribute|機能、特性、を帰する
attention|注意
forbid, ban ↔ allow, forgive|を禁止する、を禁止する ↔ を(事前に)許可する、(やってしまったこと)を許す
complete, absolute, unite ↔ overlook, lack, omit, limit, separate|全部そろった、完全な、を結合させる ↔ を見落とす、欠如、を除外する、を制限する、を分ける
plain ↔ involved|単純な ↔ 入り組んだ
ultimate, quit, cease, retire ↔ initial, found|最終の(形容詞)、をやめる(動詞)、終わる(動詞)、を退職する(動詞) ↔ 初めの(形容詞)、の基礎を築く(動詞)
deserve|に値する
steady ↔ flexible|固定された ↔ 融通の利く
suspend|をつり下げる
principal|主な
specific|特定の
tight|きつい
claim, require|を要求する、を必要とする
operate|を操作する
temporary, brief|一時的な、短時間の
former ↔ latter, following|前者の ↔ 後者の、次の
approximate ↔ concrete|おおよその ↔ 具体的な
determine, resolve, declare ↔ cancel|を決定する、を決心する、を宣言する ↔ を取り消す
correct|正しい
direct, force, command ↔ obey, accept, slave, release|を向ける、に強いる、に命じる ↔ に従う、を受け取る、奴隷、を自由にする
occupy, conquer, rule, responsible|を占める、を征服する、を支配する、責任がある
consult|に意見を求める
political|政治の
actual|実際の
overlook|を見落とす
peninsula|半島
pavement|舗装道路
initial, origin, source, ancient, ancestor ↔ descendant, current|初めの、起源、源、古代の、先祖 ↔ 子孫、今の
profit, reward, enterprise, occupation|利益、報酬、事業、職業
voyage|船旅
tribe|種族
transportation, transfer|移動手段(名詞)、を移す(動詞)
mankind|人類
heritage, treasure, tradition, legend, biography|遺産、財宝、伝統、伝説、伝記
civilization|文明
era|時代
congress|学会
district, province, boundary, invade, immigrant|地区、地方、境界線、に侵入する、移民
ruin ↔ found, prosperity, progress|を壊滅させる ↔ の基礎を築く、繁栄、進歩
translate|を翻訳する
media, broadcast, advertise|マスメディア、を放送する、を広告する
decade|10年間
atmosphere|雰囲気
destiny, destination|運命、目的地
climate|気候
outlook|見晴らし
evolution, advance, develop, progress ↔ remain|進化、を前進させる、を発達させる、進歩 ↔ 依然～のままである
bet|を賭ける
adjust|を適合させる
reserve|を予約する
linguistic, term|言葉の、専門用語
immense, considerable|計り知れない、かなりの
fluent|流ちょうな
disappear ↔ appear, approach|見えなくなる ↔ 現れる、に近づく
urban ↔ rural, vacant|都市の↔田舎の、空いている
delay ↔ rapid|を延期する(動詞) ↔ 速い(形容詞)
intend|を意図する
manage|何とか～する
native, nationality, citizen, colony|母国の、国籍、市民、植民地
excel|優れている
surround, boundary|を囲む、境界線
literate|学識のある
conduct|を行う
ideal|理想的な
submit|を提出する
boring|退屈な
holy|神聖な
