call|呼ぶ
often|しばしば
Australia|オーストラリア
just|ただ～だけ
there|そこに
but|しかし
America|アメリカ
popular|人気のある
crowded|混み合った
symbol|記号、象徴
picnic|ピクニック
come|来る
yogurt|ヨーグルト
also|～もまた
trumpet|トランペット
before|～の前に
concert|コンサート
fifth|5日、5番目
near|～の近くに
excited|わくわくした
today|今日
win|勝つ
someday|いつか
bring|～を持ってくる
towel|タオル
week|週
men|manの複数形
women|womanの複数形
nervous|緊張して
worry|心配する
yourself|あなた自身を
after|～の後に
o'clock|～時
quiet|静かな
hair|髪
people|人々
idea|考え
thirsty|のどが渇いた
yesterday|昨日
ate|eatの過去形
Me, too.|私も。
How about ...?|～はどうですか。
every day|毎日
I see.|なるほど。
Good luck.|幸運を祈ります。
over there|あそこに
(be) good at|～が得意である
No, thank you.|いいえ、結構です。
lots of|たくさんの
have a ... time|～な時間を過ごす
