太平中1スペコン

man|男性、男の人
woman|女性、女の人
friend|友達
classmate|同級生
coach|コーチ
subject|教科、科目
math|数学
science|科学 (理科)
English|英語(の)
baseball|野球
basketball|バスケットボール
football|アメリカンフットボール、サッカー
date|日、日付
today|今日(は)、現在(では)
week|週、1週間
month|(暦の上での)月、1か月
morning|朝
afternoon|午後
noon|正午、真昼
break|休憩
period|①時代②(授業の)時間、時限
season|季節
winter|冬
summer|夏
weather|天気、天候
area|区域、場所、地域
library|図書館、図書室
restaurant|レストラン
fruit|果物
water|水
bike|自転車
computer|コンピュータ
shoe|くつ
dream|夢

activity|活動
here|ここ(に [で、へ])
watch|…を見る
see|…が見える
speak|…を話す
go|行く
walk|歩く
swim|泳ぐ
use|…を使う、利用する
get|①…になる②…を得る、受け取る
study|…を勉強する
bring|(～に)…を持ってくる、…を連れてくる
cook|…を料理する
drink|…を飲む
live|住んでいる
love|…が大好きである
know|…を知っている
mean|…を意味する、…のことを言う
turn|(名詞)順番、番／(動詞)向く、曲がる
all|全ての、全部の
fine|(人が)元気な
great|すばらしい
cool|かっこいい
excited|わくわくした
popular|人気のある
interesting|おもしろい
favorite|いちばん好きな
short|(時間、長さ、距離が)短い
long|(副詞)長い間／(形容詞)①…の長さがある②長い
round|丸い、球形の
national|国の、国家の
those|あれらの、それらの
some|(形容詞)①いくつかの②…もある／(代名詞)いくらか
very|とても
hard|熱心に、一生懸命に
really|本当に
just|ただ…だけ／ちょうど
please|どうぞ、お願いします、すみませんが

always|いつも
usually|ふつうは
often|しばしば、よく
now|①今、現在は②さて、ところで
o'clock|…時
someday|いつか
why|なぜ、どうして
off|休んで
there|そこに [で、へ]
around|…の近くに／あちこち
also|…もまた／そのうえ
before|…の前に [の]
after|(前置詞)…のあとに／(接続詞)…したあとで
during|…の間ずっと、…の間に
near|…の近くに [で]
about|…について
but|しかし、けれども
or|①…かまたは～②そうしなければ
they|彼らは[が]、彼女らは[が]、それらは[が]
everyone|だれでも
hello|こんにちは
a little|少し
every day|毎日
Good luck.|幸運を祈ります。がんばって。
Me, too.|私も。
Thank you.|ありがとう。
I like Japanese food.|私は日本食が好きです。
Are you from Sydney?|あなたはシドニー出身ですか。
Do you play soccer?|あなたはサッカーをしますか。
I cannot read kanji.|私は漢字を読むことができません。
This is Ms. Cook. She is our teacher.|こちらはクックさんです。彼女は私たちの先生です。

Is that a fish market?|あれは魚市場ですか。
What is this?|これは何ですか。
Who is that?|あちらはだれですか。
How do you come to school?|あなたはどのように学校に来ますか。
What do you have for breakfast?|あなたは朝食に何を食べますか。
Where do you practice?|あなたたちはどこで練習しますか。
When is the next concert?|次のコンサートはいつですか。
How many pencils do you have?|あなたは何本のえんぴつを持っていますか。
Come to the front.|前に来なさい。
Be brave.|勇気を出して。
Don't worry.|心配しないで。
What time is it?|何時ですか。
What time do you have lunch?|あなたたちは昼食を何時に食べますか。
What animals can we see in Japan?|私たちは日本でどんな動物を見ることができますか。
What sport do you like?|あなたは何のスポーツが好きですか。
