太平1年

know, knew, known|knowの変化
see, saw, seen|seeの変化
take, took, taken|takeの変化
write, wrote, written|writeの変化
go, went, gone|goの変化
begin, began, begun|beginの変化
do, did, done|doの変化
eat, ate, eaten|eatの変化
sing, sang, sung|singの変化
speak, spoke, spoken|speakの変化

You have to speak English.|あなたは英語を話さなければならない。
You must not go out alone.|一人で外へ行ってはいけない。
I finished using the bathroom.|私は浴室を使い終えた。
Playing games was fun.|ゲームをすることは楽しかった。
I know how to use these products.|私はこれらの製品の使い方を知っている。
I am sure that these ideas help many people.|私はこれらの考えが多くの人々を救うと確信している。
This movie is the oldest of the three.|この映画は3つのうちで一番古い。
I like animated movies the best of all.|私はアニメ映画がすべてのうちでもっとも好きだ。
This movie is as popular as that one.|この映画はあの映画と同じくらい人気がある。
This movie is more interesting than that one.|この映画はあの映画よりも面白い。

long ago|ずっと前に
some of|～のうちいくつか
at night|夜に
little by little|少しずつ
for example|例えば
go out|外出する
one of|～のうちの1つ、1人
after all|結局
over here|こちらに
as for|～について言えば
such as|～のような
as a result of|～の結果として
more than|～以上の
feel like ～ing|～したい気がする
keep ～ing|～し続ける

sun|太陽
ground|地面
start|～を始める
hole|穴
fire|火
carry|運ぶ
bell|鐘(の音)

move|動かす
light|軽い
heavy|重い
effort|努力
member|メンバー
follow|従う
rule|規則

perfect|完璧な
alone|一人で
young|若い
safe|安全な
case|場合
finish|終える
save|節約する

plate|取り皿
hurt|傷つける
bathroom|浴室
elderly|年配の
bored|退屈した
hobby|趣味
carefully|注意深く
especially|特に
product|製品
exhibition|展示
first-hand|直接に
facility|施設

staff|職員
braille|点字
feature|特色
plastic|プラスティック製の
hold|つかむ
common|共通の
glad|うれしい
handrail|手すり
finger|指
ramp|スロープ
stair|階段

pull|引っぱる
luggage|手荷物
baby|赤ん坊
disabled|体の不自由な
remove|取り除く
barrier|壁
neighbot|近所の人
action|アクション
answer|答える
story|話、物語
letter|文字
