太平中2年冬

phone|電話
paper|紙、用紙
message|伝言
improve|を改善する、上達させる
skill|腕前、技術
work out|運動をする、体を鍛える
taught|教える(教師がするように)の過去形
introduce|を紹介する
human|人間、人
everything|何でも、全てのもの(こと) [をまとめてではなく一つずつ言う表現]
reason|理由、根拠
between|の間で(に、の) [挟まっている感じ]
through|のために、によって、を通して
however|しかしながら、けれども (butと同じような意味)
sun|太陽
ground|地面、土地
long ago|ずっと前に
start, begin|を始める (2種類)
hole|穴
fire|火、炎
little by little|少しずつ
for example|例えば
power|に動力を供給する
bell|ベル
heavy|重い
move|を動かす
light|軽い
started, began|を始めるの過去形 (2種類)
carry|を(持ち)運ぶ
everywhere|どこでも、いたるところに
result|結果
effort|努力
technology|(科学)技術
member|一員
safe|安全な
young|若い、幼い
case|場合
hurt|を傷つける
elderly|年配の
bored|(人が)退屈した(状態の)
hobby|趣味
keep …ing|…し続ける
kept|keepの過去形
carefully|注意深く
both … and ～|…も～も両方
after all|結局、とうとう
especially|特に、とりわけ
staff|職員、従業員(一同まとめて)
helpful|助けになる、役に立つ
hold|を持つ、つかむ、抱く
common|ふつうの、よくある、共通の
glad|うれしい
pull|を引く、ひっぱる
baby|赤ん坊
spread|を広げる、広める
research|を研究・調査する
topic|話題
neighbor|近所の人、隣人
answer|に答える
graph|図表
story|話、物語
content|中身、内容
spoke|話す(言語などを口から出す)の過去形
clearly|はっきりと
data|資料
letter|文字、手紙
row|(座席の)列
goods|商品、品物
size|寸法
price|値段
How much…?|…はいくらですか。

You have to follow the house rules.|あなたは家の規則を守らなければなりません。
You do not have to speak perfect English.|あなたは完璧な英語を話さなくてもよいです。
You must save water.|あなたは水を節約しなければなりません。
You must not go out alone.|あなたはひとりで外に出てはいけません。
I finished using the bathroom.|私は浴室を使い終わりました。
Playing games was fun.|ゲームをするのは楽しかったです。
I can show you how to use these products.|私はこれらの製品の使い方をあなたに見せることができます。
I am sure that these ideas help many people.|私はこれらの考えが、多くの人々を助けると確信しています。
Could you tell me how to get to the Statue of Liberty?|自由の女神像への行き方を教えてくださいませんか。
Godzilla is older than Your Name.|「ゴジラ」は「君の名は」より古い。
A basketball is the heaviest of the five.|バスケットボールは5つの中でいちばん重い。
Love stories are more interesting than horror movies.|ラブストーリーはホラー映画よりおもしろい。
Mrs. Willson is the most famous in our town.|ウィルソン夫人は街でいちばん有名です。
I like animated movies the best of all.|私は全ての中でアニメ映画がいちばん好きです。
Action movies are as popular as science fiction movies.|アクション映画はSF映画と同じくらい人気です。
Shall I show you a bigger sweater?|もっと大きいセーターを見せましょうか。

