太平中2スペコン

if|もし…ならば
far|遠くに
raw|生の
ago|(今から)…前
find|…を見つける、…に気がつく
rode|乗った
knew|知っていた
burn|…を燃やす
kind|種類
deep|深い
even|…でさえ
tiny|ごく小さい
aunt|おば
wife|妻
tour|旅行
fire|火、炎
carry|…を(持ち)運ぶ
hear|耳にした
learn|(…を)学ぶ、習う
catch|…を捕まえる、とらえる

start|…を始める(最後がt)
begin|…を始める(最後がn)
scary|恐ろしい
light|軽い
heavy|重い
uncle|おじ
favor|親切な行為
human|人間、人
phone|電話
paper|紙
guide|ガイド
skill|腕前、技術
change|変わる、…を変える
create|…を創造する、作り出す
appear|現れる、姿を現す
should|…すべき
attach|…をつける
taught|教えた
abroad|外国へ、で
advice|忠告、助言

writer|著者、作家
reason|理由、根拠
myself|私自身を
result|結果
effort|努力
produce|…を生産する、生じる
explain|(…を)説明する
develop|…を発達させる
connect|…を結びつける、つなぐ
improve|改善する、上達させる
measure|…をはかる
various|いろいろな
general|一般的な、総合的な
through|(…のために、…に)と書いてあるけど、「…を通して」だと思う
however|しかしながら、けれども
husband|夫
culture|文化
trouble|困難、面倒、迷惑
company|会社
article|記事

meaning|意味
feeling|感情、気持ち
between|…(と～)の間で
because|…だから、…なので
message|伝言
specific|特定の、具体的な
sometime|いつか、そのうちに
moreover|なお、そのうえに、さらに
progress|進歩、発達
sentence|文
strength|強さ、長所
continue|…を続ける
work out|体を鍛える
decrease|減る、減少する
directly|直接に
arrive at|…に着く、到着する
apologize|謝る、わびる
disappear|姿を消す、消滅する
introduce|…を紹介する
surprised|驚いた

necessary|必要な
knowledge|知識、理解
invention|発明、発明品
take…away|…を奪う、持ち去る
originally|もとは、はじめは
everywhere|どこでも、いたるところで
experience|経験、経験する
everything|何でも、全てのもの
technology|(科学)技術
communicate|連絡する、意志の疎通をする
take a look|見てみる
effectively|効果的に
reservation|予約
translation|翻訳
for example|(例、実例)と書いてあるけど、「例えば」だと思う
relationship|関係、結びつき
according to|…によれば
misunderstand|…を誤解する
in the future|未来に、将来に
be interested in|…に興味がある
