太平2年冬休みスペコン対策

learn (習得して終われるものに使う)|…を学ぶ、習う
appear|現れる、姿を現す
should (する方が良いという程度であり、must より弱い表現)|…すべきである
especially (L が二つなので注意)|特に、とりわけ
surprised (「私は驚いたよ」は I was surprised. なので注意)|驚いた、びっくりした
explain|…を説明する
sentence (ピリオドまでを1文とする単位)|文
develop|…を発達させる
continue|…を続ける
writer|筆者、作家
feeling (普通は複数形で使う)|感情、気持ち
glad|うれしい
human (動物などとの対比で使うので、普段はそれほど使わない)|人間、人
necessary|必要な
everything (単数扱いなので注意。ひとつひとつを表す)|何でも、全てのもの
reason|理由、根拠
between (複数のものに挟まれた位置関係のこと)|…の間で
through (…を通して)|<s>…のために、…によって</s> (「…を通して」の間違いでは？ thanks to と間違った？)
bridge|橋
phone|電話
paper (数えられないので、枚数は a sheet of paper などで表現)|紙、用紙
however|しかしながら
design|デザイン
such|そんなに、そのような
common|ふつうの、よくある、共通の

ground|地面
baby|赤ん坊
staff (数えられない集合体を指すので複数形にしない)|職員、従業員
fire|火
example|例
power|…に動力を供給する
bell|かね
heavy|重い
move|…を動かす
light|軽い
myself|私自身を[に]
everywhere|いたるところに
result|結果
effort|努力
member|一員、メンバー
follow (守るというのは「規則を守る」という意味で、follow に保護や防御の意味はない)|…に従う、…を守る
rule|規則、ルール
must|…しなければならない
alone|ひとりで、ただ…だけ
young|若い、幼い
case|場面、場合
sun (普通は the を付けて使う)|太陽
hobby (B が二つなので注意)|趣味
carefully (L が二つなので注意)|注意深く
better (もっと良い)|<s>最も良い</s> (「もっと良い」の間違いでは？ best と間違った？)

know, knew|わかる、知っている (原形と過去形)
start, started|始める (最初はs、原形と過去形)
hurt, hurt (過去形も同じなので注意)|傷つける (原形と過去形)
finish, finished|終える (原形と過去形)

begin, began|始める (原形と過去形)
save, saved|節約する (原形と過去形)
catch, caught|捕まえる (原形と過去形)
carry, carried|運ぶ (原形と過去形)

keep, kept|保つ (原形と過去形)
hold, held|持つ、つかむ (原形と過去形)
spread, spread (過去形も同じなので注意)|広げる (原形と過去形)
teach, taught (教師がするような「教える」の意味。一言で済む「伝える」は tell, told)|教える (原形と過去形)

write a diary in English|英語で日記を書く
how to play the guitar|ギターの弾き方
where to see a musical|ミュージカルを見る場所
when to book a concert ticket|コンサートのチケットを予約する時間
keep in touch|今後も連絡を取り合う
learn new things|新しいことを学ぶ
bake a cake|ケーキを焼く
work for a day|1日中働く

We have to keep practicing.|私たちは練習し続けなければなりません。
Some of the students can speak Chinese.|生徒のうち何人かは中国語を話せます。
She is learning Japanese little by little.|彼女は少しずつ日本語を学んでいます。
I often help my parents. For example, I cook breakfast on Sundays.|私はよく両親を手伝います。例えば、私は日曜日に朝食を作ります。
According to this e-mail, Mr. Temple is staying in Hawaii today.|このEメールによれば、テンプル先生は今日はハワイに滞在しています。
Now it is time to change yourself.|今こそ、あなた自身を変えるべきときです。
Could you tell me how to get to Sapporo station? (通常は Station も S を大文字にする)|札幌駅への行き方を教えていただけませんか。
